scene,seq,N_req,ranking,auroc,prec_top,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
frl_apartment_5,seq_0001,-1,logit_count,0.6267815569116455,0.6277082906158157,14631,48964,0.35748550327201456,0.9246239721462601,0.6410547377091373,0.42362107853188435,0.37072134629523734,0.39540976698193986,0.6277082906158157,0.4694060942733437,0.5371365121071405,0.7648144351035473,0.6251531737603137,0.6879673575033842,0.1330442883760929
frl_apartment_5,seq_0001,-1,mlp_all,0.7525418295275698,0.7784840407354248,14631,48964,0.17159083367176284,0.7719936612057983,0.47179224743878057,0.5182147495044768,0.4198390654358304,0.46386847462662323,0.7784840407354248,0.5240176456171881,0.6263936215224142,0.9387601667691887,0.6463728453557716,0.7656002057364563,0.15628770980363477
frl_apartment_5,seq_0001,-1,mlp_noconf,0.6713238987989214,0.7386371403185018,14631,48964,0.2193775069873304,0.7435017824561603,0.48143964472174533,0.49572824824003825,0.41481496609754104,0.4516765228696692,0.7386371403185018,0.5181561963891839,0.6090570342166555,0.893855512268471,0.6508455191569317,0.7532355363248852,0.15144563396693614
frl_apartment_5,seq_0003,4,support,0.6135845031497612,0.46626547853257727,8641,53836,0.528613399374591,0.6139293893477494,0.5712713943611702,0.309802106237704,0.17497585258934542,0.22364006731690772,0.46626547853257727,0.2928709413775169,0.35976566542768906,0.6516606874204375,0.5414592466007876,0.5914706389336789,0.06854714064914992
frl_apartment_5,seq_0003,4,logit_count,0.6135845031497612,0.46626547853257727,8641,53836,0.528613399374591,0.6139293893477494,0.5712713943611702,0.309802106237704,0.17497585258934542,0.22364006731690772,0.46626547853257727,0.2928709413775169,0.35976566542768906,0.6516606874204375,0.5414592466007876,0.5914706389336789,0.06854714064914992
frl_apartment_5,seq_0003,4,mlp_all,0.7484679934494075,0.6555954171970837,8641,53836,0.3671132571353323,0.7162477780511803,0.5416805175932563,0.44242564517995603,0.21162419199048962,0.2863022490216744,0.6555954171970837,0.31789137380191695,0.4281683732290843,0.7805809512787871,0.49925700274908985,0.608999764246704,0.09011708124728979
frl_apartment_5,seq_0003,4,mlp_noconf,0.7405241568910551,0.6599930563592177,8641,53836,0.38971865199914446,0.69340280398274,0.5415607279909422,0.44439301006827914,0.21474478044431236,0.2895633682416717,0.6599930563592177,0.32251653168883276,0.4332958661473687,0.776414766809397,0.5104391113752879,0.615940116197035,0.08994521303850854
frl_apartment_5,seq_0003,-1,support,0.5906080804759836,0.4121396235406243,16788,53836,0.5248346394271204,0.5769000290924406,0.5508673342597805,0.263164164879676,0.24559774128835724,0.25407768820308846,0.4121396235406243,0.3647930752656215,0.3870236918621277,0.6515368120085776,0.5771416895757485,0.6120869796591292,0.07730500722195474
frl_apartment_5,seq_0003,-1,logit_count,0.5906080804759836,0.4121396235406243,16788,53836,0.5248346394271204,0.5769000290924406,0.5508673342597805,0.263164164879676,0.24559774128835724,0.25407768820308846,0.4121396235406243,0.3647930752656215,0.3870236918621277,0.6515368120085776,0.5771416895757485,0.6120869796591292,0.07730500722195474
frl_apartment_5,seq_0003,-1,mlp_all,0.6619586376667516,0.4893376221110317,16788,53836,0.49738874666745164,0.5323362486474797,0.5148624976574657,0.3314867762687634,0.26662456348911506,0.2955386769990053,0.4893376221110317,0.3868600936176536,0.4321061214889816,0.6537407672146771,0.5941563266215915,0.6225260315607675,0.09493225678196776
frl_apartment_5,seq_0003,-1,mlp_noconf,0.6584380268904468,0.4753990945913748,16788,53836,0.49818199318827716,0.5122044327100763,0.5051932129491767,0.3292828210626638,0.2731629392971246,0.29860900077646274,0.4753990945913748,0.39939817222676277,0.43409721694415393,0.6482010960209673,0.6274240285310945,0.6376433563999588,0.09640768076440143
frl_apartment_5,seq_0000,4,support,0.6508829285541983,0.5547571141132509,6958,48021,0.325388907125063,1.0329280039485556,0.6791584555368093,0.3749640701350963,0.20867953603631745,0.2681339343349207,0.5547571141132509,0.33058453593219633,0.4142900610511194,0.7815464213854556,0.5334332896024656,0.6340826022683902,0.08465608465608465
frl_apartment_5,seq_0000,4,logit_count,0.6508829285541983,0.5547571141132509,6958,48021,0.325388907125063,1.0329280039485556,0.6791584555368093,0.3749640701350963,0.20867953603631745,0.2681339343349207,0.5547571141132509,0.33058453593219633,0.4142900610511194,0.7815464213854556,0.5334332896024656,0.6340826022683902,0.08465608465608465
