scene,seq,N_req,N,n_vox,method,param,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0005,-1,18,48022,support_min,8,0.28884677855982677,13871,53901,0.16356289809456329,0.6006077679611038,0.38208533302783354,0.4711989041885949,0.430010574942951,0.44966351640660107,0.6964169850767788,0.5309548987959407,0.6025329644418684,0.9630163650782207,0.6526595053895105,0.7780295491223762,0.17316729323308272
apartment_2,seq_0005,-1,18,48022,support_min,12,0.2068426970971638,9933,53901,0.15223405991213393,0.7842458790953238,0.46823996950372887,0.5108225108225108,0.35958516539581825,0.42206474520094933,0.7260646330413772,0.4531084766516391,0.5579944744731455,0.9681868519077821,0.5810467338268307,0.7262453037620452,0.15958821694371406
apartment_2,seq_0005,-1,18,48022,sor,2.0,0.9574569988755154,45979,53901,0.2857091706952917,0.204809129774631,0.24525915023496137,0.2893712346940995,0.688298918387414,0.4074460230264859,0.49048478653298244,0.7890206118624886,0.6049253201507488,0.8266382478957786,0.8909111148216174,0.857572095420693,0.14650411009513253
apartment_2,seq_0005,-1,18,48022,sor,1.0,0.8912165257590271,42798,53901,0.26108716658618397,0.21965288612992856,0.24037002635805627,0.3037525117996168,0.6687074451308881,0.41774792816919537,0.5150941632786579,0.7729170145266322,0.618201223315189,0.8570260292537034,0.8835643123504202,0.8700928599960991,0.1511093734727788
apartment_2,seq_0005,-1,18,48022,sor,0.5,0.8052351005789014,38669,53901,0.2401075016581273,0.24175872774795193,0.24093311470303963,0.3163515994724456,0.6185970575685052,0.41862013944188964,0.540019136776229,0.7399862711266952,0.6243829047797347,0.8832139439861387,0.8739355485055936,0.8785502495758158,0.1510132010426301
apartment_2,seq_0005,-1,18,48022,sor,0.0,0.6758360751322311,32455,53901,0.22190421332521965,0.30433611966954244,0.263120166497381,0.336188568787552,0.5551288473312184,0.4187688230970169,0.5685718687413341,0.6772416096176324,0.6181672204685134,0.9056847943306117,0.8388341589209848,0.8709786056308626,0.15151227612382873
apartment_2,seq_0005,-1,18,48022,ror,0.15/4,0.9729498979634335,46723,53901,0.29708749349617536,0.20294216920700722,0.2500148313515913,0.2850630310553689,0.6898387785013265,0.4034201828562415,0.48314534597521563,0.7918220441179199,0.6001175221088734,0.8153800055647111,0.8919315040537281,0.8519395677256383,0.14470566794240933
apartment_2,seq_0005,-1,18,48022,ror,0.15/8,0.8368247886385407,40186,53901,0.2519354212329547,0.22205759280095608,0.2369965070169554,0.3131189966655054,0.6502291237639376,0.42269058612974536,0.5288408898621411,0.7635850911856923,0.6248946168363358,0.8677897775344647,0.8808556427524535,0.8742738961209265,0.1531116165652343
apartment_2,seq_0005,-1,18,48022,ror,0.15/16,0.21590104535421265,10368,53901,0.18226750966339078,0.5279007512212001,0.3550841304422954,0.4105902777777778,0.3225543125359455,0.36128661803501005,0.6624228395061729,0.5235524387302647,0.5848572047973878,0.9443479938271605,0.7187436225672993,0.816243785196867,0.10486969595723354
apartment_2,seq_0005,-1,18,48022,ror,0.3/4,1.0,48022,53901,0.31439082497341103,0.1996283512929582,0.25700958813318464,0.27874724084794467,0.6950705923823306,0.3979163313911216,0.47338719753446334,0.7992430567150888,0.5945975738103779,0.8015701136978884,0.8940279401124284,0.8452782497533766,0.14211145157842228
