method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
B_argmax,4,0.25,4.0,29343.02564102564,7335.358974358975,7335.358974358975,34478.53846153846,0.23290809954636585,0.48113928651775834,0.3570236930320621,0.5322974439695567,0.40691820053527056,0.4596721112633009,0.7042369015904901,0.5735673425276868,0.6299595118478799,0.8754105124021245,0.7588560033497159,0.8101043950906768,0.14014766509117343
B_argmax,4,0.5,4.0,29343.02564102564,14671.333333333334,14671.333333333334,34478.53846153846,0.29864005416100925,0.2918567633292688,0.295248408745139,0.40819625242905405,0.5142129464729124,0.4534469520494153,0.5956376075049687,0.6884905519627745,0.6364760960910737,0.8289291182483303,0.8539558305651693,0.839268680638825,0.14849541285674273
B_argmax,4,1.0,4.0,29343.02564102564,29343.02564102564,29343.02564102564,34478.53846153846,0.44034527736626916,0.22360479240409914,0.33197503488518415,0.29197868508421976,0.603451148732942,0.3917541857194707,0.4687753629994199,0.7689070802470974,0.5796817019186555,0.7362109547655048,0.9024748033979987,0.8080025947587084,0.12864508325023832
B_argmax,8,0.02,8.0,45334.64102564102,906.2051282051282,906.2051282051282,44439.41025641026,0.21660006021917388,1.8229941079277676,1.0197970840734707,0.7894947389509347,0.08077600701781557,0.14626021919260138,0.8338429483987991,0.11489758841525433,0.20137805214645738,0.8583876668131012,0.20828504954083935,0.3332502914535367,0.034840945256168925
B_argmax,8,0.05,8.0,45334.64102564102,2266.2820512820513,2266.2820512820513,44439.41025641026,0.19882343152627546,1.3883766057244757,0.7936000186253757,0.741661167727199,0.1722429264370891,0.27878922644647564,0.8307469165427426,0.23633297900153982,0.3663253063396574,0.8835049721712179,0.3639178029244746,0.5117162192348431,0.07693605615169313
B_argmax,8,0.1,8.0,45334.64102564102,4533.0,4533.0,44439.41025641026,0.2065204127737511,1.0128076567460225,0.6096640347598868,0.6431165970497548,0.2662949865650374,0.37538714672907314,0.7822397520916556,0.3688079158644869,0.49867125061184436,0.8906157678415969,0.5260175042477708,0.656787240333971,0.11452459709378886
B_argmax,8,0.25,8.0,45334.64102564102,11333.23076923077,11333.23076923077,44439.41025641026,0.24611003177363683,0.4834019948362936,0.3647560133049652,0.4815712590270189,0.4162799671216361,0.4448213443246669,0.6707415412987201,0.5652877399112919,0.6109909322436956,0.8703911838448816,0.741633620589915,0.7983566791436618,0.14753233393899043
B_argmax,8,0.5,8.0,45334.64102564102,22667.05128205128,22667.05128205128,44439.41025641026,0.32226148496113505,0.29699419791424936,0.30962784143769223,0.3618660279043017,0.5308661112377728,0.4285996135151261,0.5553528805731955,0.6912885612344944,0.6137175692615576,0.8120588048232625,0.847533272062371,0.8275761971405395,0.14539245794778055
B_argmax,8,1.0,8.0,45334.64102564102,45334.64102564102,45334.64102564102,44439.41025641026,0.4683501175931727,0.22727229325395826,0.3478112054235655,0.25921010234664404,0.6368272568189732,0.36667804036719015,0.43410761960864164,0.779908664658511,0.5550274432490494,0.7135581413438841,0.8932427254191956,0.7909170301150598,0.12159250568810648
B_argmax,16,0.02,15.692307692307692,63971.333333333336,1278.923076923077,1278.923076923077,54121.41025641026,0.21203479933218347,1.9203096693783768,1.06617223435528,0.7882330382196101,0.09067349708077546,0.16227468956289864,0.8390873049722409,0.12293872790189377,0.21379254432287412,0.8642057546619839,0.2079619409773285,0.33328996950531986,0.04453845231863638
B_argmax,16,0.05,15.692307692307692,63971.333333333336,3198.1794871794873,3198.1794871794873,54121.41025641026,0.20176518204141297,1.438217587618686,0.8199913848300495,0.7112496596736644,0.18055523401867737,0.287241165559174,0.8171465877998849,0.2418378658567235,0.3716212572360225,0.886451390305947,0.36450347953912704,0.5125222915009632,0.09000515494519647
B_argmax,16,0.1,15.692307692307692,63971.333333333336,6396.717948717948,6396.717948717948,54121.41025641026,0.2120878878580608,1.0386385147090453,0.625363201283553,0.6009188559915172,0.27025920841003653,0.3716051799486649,0.7604884437760508,0.36559810199532433,0.49145178380176374,0.8920803936145577,0.5081199477763481,0.6429984512921398,0.12463878958629124
B_argmax,16,0.25,15.692307692307692,63971.333333333336,15992.51282051282,15992.51282051282,54121.41025641026,0.26209803364998563,0.5163122361159975,0.3892051348829916,0.4410308719944411,0.41805825479748,0.427420070797366,0.6388901155599934,0.5486424666337572,0.5880119507067669,0.8604109881621056,0.7223914221808064,0.7830672015485975,0.1502196865506033
B_argmax,16,0.5,15.692307692307692,63971.333333333336,31985.46153846154,31985.46153846154,54121.41025641026,0.3480996968698378,0.32406576468057974,0.3360827307752087,0.32674621560594996,0.5350219895951756,0.40378522140708867,0.5202948401169164,0.676930139288977,0.5862541056869021,0.7924326850785776,0.8265031658336945,0.8074585666507997,0.14070663041041762
B_argmax,16,1.0,15.692307692307692,63971.333333333336,63971.333333333336,63971.333333333336,54121.41025641026,0.5046854858903119,0.2377713522244543,0.3712284190573831,0.2309676089427788,0.6511644372349423,0.3391126192619163,0.3997177403828343,0.774440400662388,0.5244984349570897,0.6860407126527598,0.8803026765128138,0.7687832702424419,0.11299787890435646
C_grid,-1,0.02,23.666666666666668,606924.7435897436,12138.128205128205,12138.128205128205,59403.743589743586,0.24800564181636509,1.0399062594986233,0.6439559506574941,0.49108136283668724,0.29260546963248657,0.3542798972759357,0.7353247222460719,0.35974495114376426,0.47636615133578275,0.8722657723290803,0.4806055768224978,0.6163290255121913,0.1282142217876253
C_grid,-1,0.05,23.666666666666668,606924.7435897436,30345.871794871793,30345.871794871793,59403.743589743586,0.30782218473652695,0.613148325146638,0.46048525494158243,0.34630258569768874,0.44803469026046655,0.37667878267666477,0.5982734761212972,0.5198944429409577,0.5461401084837091,0.8315304656568906,0.6488457314997274,0.7246582339261743,0.14047624071898182
C_grid,-1,0.1,23.666666666666668,606924.7435897436,60692.179487179485,60692.179487179485,59403.743589743586,0.42354929503861083,0.40223195515906124,0.41289062509883606,0.24971437038628685,0.5838110653512084,0.33889629376498714,0.4673713211861201,0.6543989758875466,0.5340467641081279,0.7506571865927816,0.7716796024776391,0.7572653316996534,0.12291527670190089
C_grid,-1,0.25,23.666666666666668,606924.7435897436,151731.0,151731.0,59403.743589743586,0.7327930695913204,0.23821131193663375,0.485502190763977,0.1532454041161793,0.7684672719991908,0.2501656809737084,0.3092952540500855,0.8109188086818359,0.4381269358859656,0.5987644965420107,0.8762390806647128,0.7030930959275766,0.08409378058267584
C_grid,-1,0.5,23.666666666666668,606924.7435897436,303462.3076923077,303462.3076923077,59403.743589743586,1.059953594719892,0.12746559293434545,0.5937095938271187,0.09835632837416064,0.8952757438631894,0.17467963433298656,0.20602586305637635,0.9127109625895128,0.32927345415719583,0.4611939352962773,0.9416254258231935,0.607802175348809,0.055327256901482005
C_grid,-1,1.0,23.666666666666668,606924.7435897436,606924.7435897436,606924.7435897436,59403.743589743586,1.389738070420885,0.04909722325338241,0.7194176468371337,0.05842768519456261,0.9999996209920382,0.10953771130635982,0.125466391249453,1.0,0.22015146363986945,0.31777903858643153,1.0,0.47280181225734763,0.032661438072536415
C_grid,1,0.02,1.0,409582.8205128205,8191.282051282052,8191.282051282052,14955.076923076924,0.29140011572532987,0.5215035303519795,0.4064518230386547,0.43317424723319164,0.44580910947549357,0.4168008036668532,0.6590056171454253,0.5782677835760486,0.6013665214624291,0.8334557594046416,0.7320965954787442,0.7733725731599562,0.11609286017055588
