scene,seq,n_steps,N_req,N,seed,span_m,n_ref_subset,n_ref_fixed,variant,ref,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,kept_frac_vox
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,contra2,fixed,1.0,45864,91546,0.7986990085534097,0.36444608056390077,0.5815725445586553,0.3266178266178266,0.5275599152338715,0.40345343710510406,0.45351473922902497,0.6527756537696896,0.5352001287690131,0.670547706261992,0.7959386537915365,0.7278824449559712,0.16097515440982,0.5605612456916571
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,contra2,fixed,0.25,11466,91546,0.10260067913339398,0.8350735182869764,0.4688370987101852,0.7295482295482295,0.36448342909575515,0.48610703044198944,0.865864294435723,0.46016210429729315,0.6009502316758255,0.9781091923949067,0.5765407554671969,0.7254621061007988,0.18374433523630157,0.5605612456916571
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,support_match2,subset,1.0,45864,69995,0.6511602199154175,0.3200759282642938,0.4856180740898557,0.3279696493982208,0.6236731195085363,0.42987949055566443,0.47165532879818595,0.7177512679477106,0.5692438754003576,0.7132391418105704,0.8211157939852847,0.7633851992992711,0.16417910447761194,0.5605612456916571
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,support_match2,subset,0.25,11466,69995,0.10971283706844574,0.6922436035877418,0.40097822032809377,0.7093144950287807,0.4358739909993571,0.5399490888948595,0.8444967730682016,0.5394385313236659,0.6583459465566083,0.9733996162567591,0.6574755339667119,0.7848380452344385,0.19437340153452684,0.5605612456916571
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,support_match2,fixed,1.0,45864,91546,0.6478960173394199,0.40930790877019096,0.5286019630548054,0.3301282051282051,0.540504227382955,0.4098990200387577,0.47483865341008197,0.6393834793437179,0.5449613347634135,0.7139586603872318,0.7635942586240797,0.7379427524415533,0.16244002741603839,0.5605612456916571
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,support_match2,fixed,0.25,11466,91546,0.10919976443801258,0.884562593035188,0.4968811787366003,0.7114076399790685,0.35901077054158564,0.477202190260961,0.8470259898831327,0.4470867105061936,0.585256698919923,0.9733996162567591,0.5563869530072313,0.708055433913339,0.18030574220240017,0.5605612456916571
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,smooth5,subset,1.0,79614,69995,0.8531927812429745,0.2792871112422838,0.5662399462426291,0.22144346471726079,0.6667190513608114,0.3324629762091094,0.3415228477403472,0.7564826059004215,0.4705916404631563,0.5737433114778808,0.8460175726837631,0.6837727805223814,0.12142497131398054,
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,smooth5,subset,0.25,19903,69995,0.18809410752101646,0.4998324212089426,0.34396326436497954,0.5471034517409435,0.5235659689977855,0.5350759876099613,0.7068281163643672,0.6355596828344882,0.6693020507533513,0.914786715570517,0.7389527823415958,0.81752197316858,0.20372954118594044,
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,smooth5,fixed,1.0,79614,91546,0.8480800576024908,0.3568785921392901,0.6024793248708904,0.22504835832893713,0.5943569353112097,0.3264783705728613,0.34581857462255383,0.691106110589212,0.4609733638043136,0.5753259476976411,0.7945076791995281,0.66738160680711,0.12414165093458913,
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,smooth5,fixed,0.25,19903,91546,0.18724193347507184,0.6410783923216263,0.4141601628983491,0.5496658795156509,0.441056954973456,0.48940823938311095,0.7095915188665025,0.5427326152972276,0.6150459778279705,0.9151384213435161,0.6491599851440806,0.7595369803361679,0.1931592497241633,
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,smooth9,subset,1.0,79271,69995,0.8523672325514368,0.2812973561747319,0.5668322943630844,0.22202318628502227,0.667119079934281,0.33316581470891266,0.34153725826594844,0.7554396742624473,0.4704033193081545,0.5738164019628869,0.844846060432888,0.6834416775804912,0.12196986006458557,
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,smooth9,subset,0.25,19817,69995,0.18589622524158145,0.5203675479252936,0.3531318865834375,0.5515466518645608,0.5257518394171012,0.5383404304171098,0.7104001614775193,0.6308450603614544,0.6682632309900994,0.9173941565322703,0.7329809272090864,0.8148843570115404,0.2045246677785549,
apartment_2,seq_0001,45,16,16,1,6.3,69995,91546,smooth9,fixed,1.0,79271,91546,0.8472141826712937,0.3596623468861009,0.6034382647786973,0.2256184481083877,0.5944333996023857,0.3270894187885174,0.3457632677776236,0.6894129727131715,0.46054705077190466,0.5755572655826217,0.7928036178533197,0.6669349993254581,0.1245966146863484,
