method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
B_argmax,4,0.25,4.0,29343.02564102564,7335.358974358975,7335.358974358975,59403.743589743586,0.23162810994931227,0.7575829768391319,0.49460554339422214,0.5366736303564151,0.2874520239521311,0.3737179474055164,0.7065056784087654,0.42482960430282,0.5293644233207683,0.8759850756997224,0.6118066294809393,0.7175454648743901,0.11957985630105945,
B_argmax,4,0.5,4.0,29343.02564102564,14671.333333333334,14671.333333333334,59403.743589743586,0.29608859952412636,0.4592900996365715,0.37768934958034894,0.41516631370560786,0.38843956284171555,0.4006501436534753,0.599965217647015,0.5533789950841379,0.5747801128653861,0.8302787796748294,0.7455862526871868,0.7836594529211806,0.1355949892259266,
B_argmax,4,1.0,4.0,29343.02564102564,29343.02564102564,29343.02564102564,59403.743589743586,0.43562727426585784,0.3471441215453254,0.39138569790559163,0.3013394726260964,0.48856926019931773,0.3720757708131747,0.47506250586355675,0.6601037594424192,0.5513250598726125,0.7389741042983526,0.8236087869239873,0.7771121988604638,0.12760534350831426,
B_argmax,8,0.02,8.0,45334.64102564102,906.2051282051282,906.2051282051282,59403.743589743586,0.21654860030166867,2.1035956306399073,1.160072115470788,0.7894228640921258,0.06430478888438881,0.11880441404708314,0.8338585105111809,0.09187673577651197,0.1652277651358331,0.8585595228400041,0.16822757239075647,0.280044023289255,0.03129481527351435,
B_argmax,8,0.05,8.0,45334.64102564102,2266.2820512820513,2266.2820512820513,59403.743589743586,0.19880247844674942,1.6519967580411237,0.9253996182439366,0.7424866952895908,0.1378807294894138,0.23229970706948924,0.830940807905695,0.19031128935377484,0.3089789592845491,0.8835915527119201,0.2972469149903079,0.44238747270060175,0.06917842146959859,
B_argmax,8,0.1,8.0,45334.64102564102,4533.0,4533.0,59403.743589743586,0.2063469193624651,1.245538600027517,0.725942759694991,0.6445870736195075,0.21532108494574637,0.3223719672970618,0.7829028117202466,0.3014258515002775,0.43404732335622026,0.8907361492456917,0.4401230507715802,0.5857418823967604,0.10403052233280317,
B_argmax,8,0.25,8.0,45334.64102564102,11333.23076923077,11333.23076923077,59403.743589743586,0.24543922315572284,0.622428835380119,0.4339340292679209,0.48395544481375213,0.3474240627753292,0.4037371383146016,0.6722777597900311,0.48433130020998916,0.5616547334991041,0.8708470377805565,0.6639000887016284,0.7508945327270609,0.13861668523117102,
B_argmax,8,0.5,8.0,45334.64102564102,22667.05128205128,22667.05128205128,59403.743589743586,0.3209163773380701,0.3833756277785329,0.35214600255830153,0.3654401385544673,0.4596456672908295,0.4063521661966973,0.5576805053175198,0.6187389381740545,0.5853960330474017,0.8128315893180698,0.7915193738346006,0.7999611655837872,0.14170293841167508,
B_argmax,8,1.0,8.0,45334.64102564102,45334.64102564102,45334.64102564102,59403.743589743586,0.4659462889794862,0.2925717780428702,0.3792590335111782,0.2634754043067869,0.5717320882623971,0.35978465238111734,0.4371590085339746,0.7212693171994005,0.5428530408834481,0.7149168013341789,0.8507682600197279,0.7754578203323969,0.12302835512359835,
B_argmax,16,0.02,15.692307692307692,63971.35897435898,1278.923076923077,1278.923076923077,59403.743589743586,0.21198045086998404,2.0023623361267195,1.1071713934983518,0.7883909160810623,0.08478835748214768,0.1528848514562538,0.8391267967782585,0.11523704271787273,0.20216899983029835,0.8642176485348643,0.19561733347404894,0.3174258132836564,0.04324508377203932,
