scene,seq,N_req,N,method,frac,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
apartment_2,seq_0000,1,1,oracle,0.25,9449,2362,2362,90479,0.04056401245878244,1.612318160176911,0.8264410863178467,1.0,0.13886095115993766,0.24385935968479178,1.0,0.19185667392433603,0.32194588178564143,1.0,0.2807502293349838,0.43841527083818743,0.06688718662952646,
apartment_2,seq_0000,1,1,oracle,0.1,9449,944,944,90479,0.026047999993764184,1.6618267509559494,0.8439373754748568,1.0,0.08398633937156688,0.15495829849711454,1.0,0.14402236983167366,0.2517824364795672,1.0,0.2537715934084152,0.40481311706629053,0.030684583641942653,
apartment_2,seq_0000,1,1,oracle,0.05,9449,472,472,90479,0.01993313217838562,1.7177792854960297,0.8688562088372076,1.0,0.05229942859669094,0.09940027937948347,1.0,0.11142917140994042,0.2005151102316007,1.0,0.2324848859956454,0.3772620478146242,0.015900498215610757,
apartment_2,seq_0000,1,1,oracle,0.02,9449,188,188,90479,0.013857812544716847,1.7963317765155766,0.9050947945301467,1.0,0.02492291028857525,0.04863372657277805,1.0,0.06993888084527901,0.13073434772278864,1.0,0.18709313763414714,0.3152122301153556,0.006434505921866714,
apartment_2,seq_0000,2,2,A_point,1.0,15151,15151,15151,90479,0.37425062885624033,0.9164065810104756,0.645328604933358,0.3904032737113062,0.2812475823119177,0.3269555182526742,0.550854729060788,0.3942351263829176,0.45956748446517026,0.7503795129034387,0.564451419666442,0.6442695723915033,0.09627423263327949,
apartment_2,seq_0000,2,2,A_point,0.5,15151,7575,7575,90479,0.20281391337149748,0.9453477505987862,0.5740808319851418,0.5152475247524753,0.2232009637595464,0.3114739779106501,0.6988778877887789,0.35443583593983136,0.4703392024579794,0.8833003300330033,0.5380806596005703,0.6687676670448321,0.07621191655410475,
apartment_2,seq_0000,2,2,A_point,0.25,15151,3787,3787,90479,0.1521909114231473,1.1074414985642254,0.6298162049936863,0.5767097966728281,0.1305164734358249,0.21286010443606743,0.7784526010034328,0.22869395108257165,0.3535282937428499,0.9342487457090045,0.4175333502801755,0.5771344508087859,0.04708725182863114,
apartment_2,seq_0000,2,2,A_point,0.1,15151,1515,1515,90479,0.10935617651225517,1.5215458372146744,0.8154510068634648,0.6574257425742575,0.05991445528796737,0.1098204321352959,0.8752475247524752,0.10339415776036429,0.18494098968125341,0.9881188118811881,0.20201372694216338,0.33544762005605394,0.024165549482657867,
apartment_2,seq_0000,2,2,A_point,0.05,15151,757,757,90479,0.0891470894390149,1.715155264975258,0.9021511772071364,0.7556142668428005,0.03462681948297395,0.06621907989719258,0.9484808454425363,0.06306435747521524,0.11826527360882765,1.0,0.14248610174736678,0.24943165878244378,0.013968431345159939,
apartment_2,seq_0000,2,2,A_point,0.02,15151,303,303,90479,0.07748154845707336,1.8890800066108067,0.98328077753394,0.8613861386138614,0.016490014257452005,0.03236053208748293,0.9801980198019802,0.034151571082792695,0.06600348173706251,1.0,0.08907039202466871,0.16357141407375836,0.005912578306468642,
apartment_2,seq_0000,2,2,B_argmax,1.0,17123,17123,17123,90479,0.35950239187398414,0.8508936251526786,0.6051980085133314,0.36115166734801146,0.28168967384697,0.3165094988926483,0.5202943409449279,0.42009748118347906,0.46485802398893467,0.759913566547918,0.5902253561599929,0.664406081363804,0.10381211708645337,
apartment_2,seq_0000,2,2,B_argmax,0.5,17123,8561,8561,90479,0.21547393586059688,0.8981682581295967,0.5568210969950967,0.48440602733325544,0.21969738834425667,0.3022929209935142,0.6663941128372853,0.36839487615910876,0.47448548309341615,0.8843593038196472,0.5601410271996817,0.6858647495159405,0.0895540044954454,
apartment_2,seq_0000,2,2,B_argmax,0.25,17123,4280,4280,90479,0.14567967928205547,0.9798451436104113,0.5627624114462334,0.5964953271028037,0.1531294554537517,0.24369793193988654,0.7679906542056075,0.2659954243526122,0.39513491371007564,0.9567757009345794,0.48348235502160725,0.6423628976797356,0.06523801734009488,
