scene,ranking,N_req,frac,n_steps,N_req,N,seed,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,oracle,1,0.9,27.416666666666668,1.0,1.0,1.0,0.8999999999999999,8008.694444444444,13758.666666666666,0.45028602643852395,0.5311523843346015,0.49071920538656283,0.3255140550292391,0.4437593177040745,0.36884303123697637,0.4752600954497357,0.5768162509401938,0.512658313223268,0.7108366556138557,0.7392936317251163,0.7166652154668144,0.09514929962785651
apartment_2,oracle,1,1.0,27.416666666666668,1.0,1.0,1.0,1.0,8899.027777777777,13758.666666666666,0.628780821226789,0.5309268223414105,0.5798538217840997,0.29294593438318417,0.4437593177040745,0.34672705178008834,0.42770965092131474,0.5768162509401938,0.4833246280300137,0.6440365309977591,0.7394224883580058,0.6801822588312214,0.08941236879346103
apartment_2,oracle,2,0.1,27.416666666666668,2.0,2.0,1.0,0.1,1565.0555555555557,21678.277777777777,0.0309568276039167,0.6862261128980957,0.3585914702510062,1.0,0.29931485731228435,0.4574345521263279,1.0,0.42614158621435655,0.5944571695317359,1.0,0.6331597146775052,0.7726559889056501,0.11686183714695773
apartment_2,oracle,2,0.25,27.416666666666668,2.0,2.0,1.0,0.25,3913.3888888888887,21678.277777777777,0.056467939991044415,0.5891315780361337,0.32279975901358904,0.9187142454573208,0.44409585150594566,0.591966978147151,0.9780027746674642,0.5471975838617777,0.6987677761733303,1.0,0.6996909284579008,0.8207491166934345,0.177884644739144
apartment_2,oracle,2,0.5,27.416666666666668,2.0,2.0,1.0,0.5,7827.333333333333,21678.277777777777,0.1504550083617847,0.5253239864756019,0.33788949741869323,0.5401017177833479,0.46767573596322465,0.491728214210264,0.7751206995740381,0.5998798630318429,0.6668874927332294,0.9506333277917527,0.7484138307094722,0.8353451776260593,0.1434412552162075
apartment_2,oracle,2,0.75,27.416666666666668,2.0,2.0,1.0,0.75,11741.0,21678.277777777777,0.326238885991518,0.509663497190435,0.41795119159097655,0.36006663686308193,0.46767573596322465,0.39927695336449825,0.5323801463504456,0.601679765089955,0.5554591188347688,0.8036852283987052,0.7603130899315971,0.7742612468674341,0.11472582907289783
apartment_2,oracle,2,0.9,27.416666666666668,2.0,2.0,1.0,0.8999999999999999,14089.222222222223,21678.277777777777,0.5166133194003459,0.5073394030338485,0.5119763612170972,0.3000552796502194,0.46767573596322465,0.3589718255612257,0.4436497625394977,0.601679765089955,0.5023690124055219,0.6864091019984861,0.7608411321294466,0.7135775005058461,0.10245450292184248
apartment_2,oracle,2,1.0,27.416666666666668,2.0,2.0,1.0,1.0,15655.194444444445,21678.277777777777,0.7352083231570824,0.5071084570775795,0.6211583901173309,0.27004001777652537,0.46767573596322465,0.3363724628518905,0.39927023884113816,0.601679765089955,0.47232167000175973,0.6196552795111673,0.7608725919117448,0.6751549131606791,0.0956401037054
apartment_2,oracle,4,0.1,27.416666666666668,4.0,4.0,1.0,0.1,2936.777777777778,34399.305555555555,0.029761484352594767,0.5691427659046172,0.299452125128606,1.0,0.3830941468553246,0.5518544810548505,1.0,0.5243243043745396,0.6860670940672923,1.0,0.709221189137169,0.82789479206967,0.16604524367007764
apartment_2,oracle,4,0.25,27.416666666666668,4.0,4.0,1.0,0.25,7342.694444444444,34399.305555555555,0.0544525275766021,0.47947873183021655,0.26696562970340937,0.912069006782574,0.534403750058641,0.6712451114282655,0.9981925957899621,0.639041961705631,0.7777166960341308,1.0,0.7623890474630612,0.8635357307881241,0.23167802452264327
apartment_2,oracle,4,0.5,27.416666666666668,4.0,4.0,1.0,0.5,14685.805555555555,34399.305555555555,0.14216559173908525,0.4302231000746596,0.28619434590687237,0.502088638864642,0.547031944519066,0.5192411573657246,0.7503605993816418,0.6744532422650377,0.7062619641622927,0.9781648422766178,0.7969713746273653,0.8770771681243461,0.1699669932799327
apartment_2,oracle,4,0.75,27.416666666666668,4.0,4.0,1.0,0.75,22028.61111111111,34399.305555555555,0.3088641589316349,0.4191570666443342,0.3640106127879845,0.33472671174314894,0.547031944519066,0.4120583237455844,0.5045717491418594,0.6746127009155486,0.5735176931053257,0.7964140530156912,0.8021923134544854,0.7961641758451493,0.13125438810334944
apartment_2,oracle,4,0.9,27.416666666666668,4.0,4.0,1.0,0.8999999999999999,26434.416666666668,34399.305555555555,0.4930864249928742,0.41822583010239783,0.45565612754763607,0.27893828759883293,0.547031944519066,0.36671872467282873,0.4204754753386285,0.6746127009155486,0.514747604235954,0.6721745807017435,0.8022292180476787,0.727715173685488,0.11549444641220158
apartment_2,oracle,4,1.0,27.416666666666668,4.0,4.0,1.0,1.0,29372.11111111111,34399.305555555555,0.7116936842750522,0.4180657124481496,0.5648796983616009,0.2510393694479905,0.547031944519066,0.3416695002563926,0.3784202469309583,0.6746127009155486,0.4818473457833457,0.604944960478981,0.8022292180476787,0.6862634479452263,0.10693774846599458
apartment_2,oracle,8,0.1,27.416666666666668,8.0,8.0,1.0,0.1,4884.25,45707.88888888889,0.03279236414540383,0.5384847427777362,0.28563855346157,1.0,0.4589136260147333,0.6278568157567448,1.0,0.5847069926589814,0.7369098316485787,1.0,0.7301324969099471,0.8426126701374688,0.22280055535432103
apartment_2,oracle,8,0.25,27.416666666666668,8.0,8.0,1.0,0.25,12211.305555555555,45707.88888888889,0.06683212391041564,0.46665043560968006,0.26674127976004786,0.8035332947086382,0.5696072228729735,0.6635747763164577,0.9900192830091203,0.6718184784056774,0.7994550255253564,1.0,0.7710822833263035,0.8694765256879804,0.24993015885441525
apartment_2,oracle,8,0.5,27.416666666666668,8.0,8.0,1.0,0.5,24423.083333333332,45707.88888888889,0.172611188950282,0.43080517126029416,0.3017081801052881,0.4197422472874386,0.5729935166464961,0.4807883061091507,0.6645323994289581,0.686885246976075,0.6714728948567938,0.9558086345601148,0.7956451366739362,0.8676599795012904,0.16778397785497107
apartment_2,oracle,8,0.75,27.416666666666668,8.0,8.0,1.0,0.75,36634.555555555555,45707.88888888889,0.36021497113449163,0.4242815332007368,0.3922482521676142,0.2798289463911187,0.5729935166464961,0.37338230457437427,0.4467076591125414,0.6869659797189966,0.5376722927514791,0.7463750376578829,0.7983082555055545,0.768661243759681,0.12548978834297003
apartment_2,oracle,8,0.9,27.416666666666668,8.0,8.0,1.0,0.8999999999999999,43961.416666666664,45707.88888888889,0.5585964996592785,0.4237123447318762,0.4911544221955773,0.2331910444146216,0.5729935166464961,0.3293051928159409,0.3722568159440594,0.6869659797189966,0.4796944452079434,0.6305303087921407,0.798392656729619,0.7011020002077221,0.10901364338864249
apartment_2,oracle,8,1.0,27.416666666666668,8.0,8.0,1.0,1.0,48846.583333333336,45707.88888888889,0.7902461092893944,0.42360584356576314,0.6069259764275787,0.20986929632912013,0.5729935166464961,0.30528964616580634,0.33502688947431003,0.6869659797189966,0.4475395436216351,0.5674700931195895,0.798392656729619,0.6601632736088711,0.10024074795236965
