,,,n_steps,n_steps,N_req,N_req,N,N,seed,seed,frac,frac,n_pred,n_pred,n_ref,n_ref,acc,acc,comp,comp,chamfer,chamfer,precision@0.1,precision@0.1,recall@0.1,recall@0.1,f1@0.1,f1@0.1,precision@0.2,precision@0.2,recall@0.2,recall@0.2,f1@0.2,f1@0.2,precision@0.5,precision@0.5,recall@0.5,recall@0.5,f1@0.5,f1@0.5,iou,iou
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ranking,N_req,frac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,8,0.9,23.666666666666668,10.560988720693754,8.0,0.0,8.0,0.0,1.0,0.8200084103858011,0.9,0.0,41355.18803418803,8645.334918954273,43912.13675213675,6577.321430892336,0.3843348761291715,0.18844453990252155,0.2454759744383686,0.14988594489648532,0.31490542528377,0.16475723540941944,0.2694157413516447,0.07041078192898023,0.6096536251643041,0.08040595894654036,0.37168830266428937,0.08150897045626436,0.44357287313169924,0.10923583203999115,0.7592257101257401,0.08678212147959748,0.5566366716752841,0.10838434791641897,0.7424201105549022,0.1407853309235601,0.8865551234867842,0.08164711126831604,0.8049944336039997,0.11496132469341597,0.12485736256337072,0.03504530020337129
oracle,8,1.0,23.666666666666668,10.560988720693754,8.0,0.0,8.0,0.0,1.0,0.8200084103858011,1.0,0.0,45950.743589743586,9605.950682774399,43912.13675213675,6577.321430892336,0.5330234993024765,0.2556595654441279,0.24524539817893426,0.1499887093592847,0.38913444874070535,0.19858404459504328,0.24247119970821934,0.06336874344980342,0.6096536251643041,0.08040595894654036,0.34517312602871075,0.07671858394453702,0.39921070585346524,0.09831076657877046,0.7592257101257401,0.08678212147959748,0.520247176396567,0.10301877573911795,0.6681699254216092,0.12670454003510292,0.8865551234867842,0.08164711126831604,0.759126310393703,0.11039997371960668,0.11453585347336333,0.03206281695017437
oracle,16,0.1,23.666666666666668,10.560988720693754,16.0,0.0,15.692307692307692,0.6082980562182811,1.0,0.8200084103858011,0.1,0.0,6791.6324786324785,1602.3715807293727,53671.581196581195,8574.152347004536,0.03433069520514622,0.005864056694738251,0.317387378526725,0.1853081356743763,0.17585903686593563,0.09446561443422616,1.0,0.0,0.5546518304557333,0.051655511442472796,0.7121290901498982,0.04280959755621328,1.0,0.0,0.6963573383388681,0.0790036729534548,0.8184238014026785,0.05595097483184352,1.0,0.0,0.8359961694466906,0.09251467185810633,0.907797742320008,0.057673739232205715,0.3067221033000042,0.03142185654430722
oracle,16,0.25,23.666666666666668,10.560988720693754,16.0,0.0,15.692307692307692,0.6082980562182811,1.0,0.8200084103858011,0.25,0.0,16979.709401709402,4005.971381316657,53671.581196581195,8574.152347004536,0.06946148335072125,0.02312131997848154,0.26955034570194947,0.17450360451231042,0.16950591452633537,0.09680025331704384,0.8112305640601336,0.18817988433661975,0.6469928589894638,0.08641066385111744,0.7167089519804646,0.12626908190978786,0.9786593677578783,0.06068368970254172,0.7613201656905441,0.08652156297319513,0.8549754749565677,0.07295240987809426,1.0,0.0,0.8653123449982093,0.0890953918768873,0.9252405659989387,0.054013803313745834,0.3075135945016748,0.08840715626894737
oracle,16,0.5,23.666666666666668,10.560988720693754,16.0,0.0,15.692307692307692,0.6082980562182811,1.0,0.8200084103858011,0.5,0.0,33959.94017094017,8012.0480186582845,53671.581196581195,8574.152347004536,0.1569893409515475,0.06732972222450606,0.2457329333350309,0.1692349797630262,0.2013611371432892,0.11536034815772168,0.4246634660528221,0.11802656177877574,0.6491338982918843,0.08853667333939984,0.5099292204097926,0.11210667734635252,0.7226926951045894,0.18549751185835858,0.7780686893157606,0.09640856294526437,0.7442380948547344,0.1411319037011614,0.9761230183642791,0.07453874478317621,0.8844464341122829,0.0915667981597398,0.926863539793085,0.07851972058004084,0.189054133042669,0.054518831260219586
oracle,16,0.75,23.666666666666668,10.560988720693754,16.0,0.0,15.692307692307692,0.6082980562182811,1.0,0.8200084103858011,0.75,0.0,50939.92307692308,12018.005801751324,53671.581196581195,8574.152347004536,0.2913887877635517,0.14455072703238067,0.23976512206228162,0.1691081282464753,0.26557695491291666,0.15342014544047347,0.2831086280403822,0.07868364476132977,0.6491338982918843,0.08853667333939984,0.3918916089832225,0.09136416933702651,0.4838171785854417,0.12692279808185497,0.778113990620603,0.09645512249284713,0.5925980053406498,0.12216803922329816,0.841934303106699,0.16149040926418873,0.8880325222455132,0.09316047788228782,0.8614968360202171,0.12785313714465826,0.1359593185955051,0.0386700119974254
oracle,16,0.9,23.666666666666668,10.560988720693754,16.0,0.0,15.692307692307692,0.6082980562182811,1.0,0.8200084103858011,0.9,0.0,61127.88034188034,14421.663022355857,53671.581196581195,8574.152347004536,0.4215303001962225,0.21712473385766817,0.23878600582570111,0.16931456502974407,0.3301581530109618,0.18986405220934302,0.2359240909792168,0.06556991653174007,0.6491338982918843,0.08853667333939984,0.3441466761390093,0.08209353991928782,0.40318138989883917,0.10576946428344074,0.778113990620603,0.09645512249284713,0.5277242605126061,0.11198197013731426,0.7103847687880029,0.14422547815303932,0.888083478432983,0.0931874498083907,0.7862272436637533,0.12399426750240447,0.11635928905047237,0.032936013874039806
oracle,16,1.0,23.666666666666668,10.560988720693754,16.0,0.0,15.692307692307692,0.6082980562182811,1.0,0.8200084103858011,1.0,0.0,67920.36752136752,16024.022456922929,53671.581196581195,8574.152347004536,0.5754853184655944,0.2845496812475897,0.23841685068352378,0.16947246028564988,0.40695108457455903,0.2238223584668194,0.21232983892637103,0.05901199924410352,0.6491338982918843,0.08853667333939984,0.3183023790477217,0.07686155541549732,0.362860099650488,0.09519088648298286,0.778113990620603,0.09645512249284713,0.4918474274981364,0.10601808286333315,0.6393408281809461,0.1298004613249246,0.888083478432983,0.0931874498083907,0.7405590555165458,0.11872195240864208,0.10615719708602728,0.029974567386267467
oracle,32,0.1,23.666666666666668,10.560988720693754,32.0,0.0,21.846153846153847,6.771664320223092,1.0,0.8200084103858011,0.1,0.0,8133.136752136752,2838.657887422733,58515.256410256414,12792.97355916173,0.03607009671991587,0.007517540064127792,0.31811640361199783,0.20197950938314263,0.17709325016595687,0.10387096200145415,0.9949290606931033,0.022275364287836146,0.5805476500385858,0.07319643631043642,0.7308796274072984,0.05971215829377393,1.0,0.0,0.7092448494733333,0.09162176189888327,0.8264949772244871,0.06409234432088076,1.0,0.0,0.8364331442433725,0.10022688963703817,0.9075235207548704,0.06316582898503985,0.33437645122328025,0.046824525373005535
oracle,32,0.25,23.666666666666668,10.560988720693754,32.0,0.0,21.846153846153847,6.771664320223092,1.0,0.8200084103858011,0.25,0.0,20333.418803418805,7096.837389651859,58515.256410256414,12792.97355916173,0.07495459663628795,0.02926978305391116,0.2739374432486236,0.19229474905447153,0.1744460199424558,0.1090524459825572,0.777744933739535,0.20557118596974458,0.659700065320932,0.09771679761244363,0.7087031766811888,0.1397421606296345,0.9682520568151206,0.09149792384866653,0.7659445378324674,0.09823028534537939,0.853749605161321,0.09053729433027072,1.0,0.0,0.8633740788904302,0.0979347508701927,0.9235434148909047,0.06031489563803018,0.30808449814941635,0.09191577034307176
