scene,seq,n_steps,N_req,N,seed,ranking,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0011,15,4,4,2,support,0.25,7794,29993,0.23402820308152172,0.5042399064891924,0.36913405478535705,0.537721324095458,0.44313673190411096,0.4858686101975947,0.6717988196048242,0.5583969592905011,0.6098710864690763,0.8709263536053374,0.7155336245123862,0.7856196803879791,0.10102321716096192
apartment_2,seq_0011,15,4,4,2,support,0.1,3117,29993,0.10659267777480871,1.129595792532738,0.6180942351537734,0.7629130574270132,0.30970559797286035,0.44056374269129484,0.8453641321783767,0.3825225886040076,0.5267112522363754,0.9842797561758101,0.48758043543493484,0.6521211115585545,0.06080647232567099
apartment_2,seq_0011,15,4,4,2,oracle,1.0,31178,29993,0.6600756126518653,0.3347809146550108,0.49742826365343806,0.23471678747835012,0.5774347347714467,0.33376438314987356,0.3651613317082558,0.7111659387190344,0.482548957707074,0.6208865225479505,0.8438635681659054,0.7154032891550626,0.08559183772858986
apartment_2,seq_0011,15,4,4,2,oracle,0.9,28060,29993,0.43769520452246424,0.3347809146550108,0.3862380595887375,0.26079828937990024,0.5774347347714467,0.3593129516923906,0.4057377049180328,0.7111659387190344,0.5166906517595736,0.6898788310762651,0.8438635681659054,0.7591413164059243,0.09262431157606262
apartment_2,seq_0011,15,4,4,2,oracle,0.75,23383,29993,0.267587621812297,0.3348204260781421,0.30120402394521956,0.3129624085874353,0.5774347347714467,0.4059208112784342,0.48689218663131334,0.7111659387190344,0.5780372949089833,0.8278663986656973,0.8438635681659054,0.8357884431141092,0.10564438566963212
apartment_2,seq_0011,15,4,4,2,oracle,0.5,15589,29993,0.13450837202210494,0.3427752121881875,0.23864179210514624,0.46943357495670024,0.5774347347714467,0.517863133937688,0.7303226634165116,0.7111659387190344,0.7206170090098993,1.0,0.8348281265628646,0.9099796482046809,0.1379621634351205
apartment_2,seq_0011,15,4,4,2,oracle,0.25,7794,29993,0.05640396468851294,0.41058047632175027,0.2334922205051316,0.938927380035925,0.5774347347714467,0.7150920975489646,1.0,0.6821591704731104,0.8110518700572811,1.0,0.7945187210349082,0.8854950485851772,0.19850737830044665
apartment_2,seq_0011,15,4,4,2,oracle,0.1,3117,29993,0.03110147309065296,0.5141590793525854,0.27263027622161917,1.0,0.3868902743973594,0.5579248503497848,1.0,0.5268562664621745,0.6901190086253958,1.0,0.7298703030707165,0.8438439596021895,0.17336647727272728
apartment_2,seq_0011,15,8,8,0,support,1.0,50853,41296,0.6628253571259242,0.32281183805369046,0.4928185975898073,0.20360647356104852,0.6192609453700116,0.3064540760762157,0.33909503864078816,0.74920089112747,0.46687724942733155,0.5975065384539752,0.8473217745060054,0.7008172471434482,0.0903451515200596
apartment_2,seq_0011,15,8,8,0,support,0.9,45767,41296,0.6497809334769766,0.34991461699071674,0.4998477752338467,0.2110035615181244,0.5774893452150329,0.3090764863922333,0.34540170865470754,0.6961206896551724,0.4617111951254503,0.5921734000480696,0.8231305695466873,0.6888075473871992,0.09144320314281204
apartment_2,seq_0011,15,8,8,0,support,0.75,38139,41296,0.5395455846325631,0.35727916317287656,0.4484123739027198,0.23862712708775793,0.5618461836497481,0.3349811639467028,0.38181389129237786,0.683891902363425,0.49004036577296023,0.6267600094391568,0.8200067803177064,0.7104772669802156,0.0985595300366153
apartment_2,seq_0011,15,8,8,0,support,0.5,25426,41296,0.46542931465066545,0.3813134334251301,0.42337137403789776,0.29941791866593254,0.527726656334754,0.38206335830505267,0.45182097065995436,0.6642774118558699,0.5378279723614706,0.6903956579878864,0.8102479659046881,0.7455356736905824,0.1088700071468276
apartment_2,seq_0011,15,8,8,0,support,0.25,12713,41296,0.322017970073413,0.5319071379781918,0.4269625540258024,0.4482026272319673,0.44457090275087174,0.4463793782229594,0.5912058522771966,0.5701278574196048,0.5804755739687074,0.7919452528907418,0.7321774506005424,0.7608894676898449,0.11805502337343858
