scene,seq,n_steps,N_req,N,ranking,ref,frac,n_cand,k,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,hit_b0,hit_b1,hit_b2,hit_b3,hit_b4,hit_b5,hit_b6,hit_b7,hit_b8,nref_b0,nref_b1,nref_b2,nref_b3,nref_b4,nref_b5,nref_b6,nref_b7,nref_b8
office_4,seq_0004,18,16,16,topk_count1,subset,0.25,55778,1,13944,51460,0.1829419158272048,0.416861080096521,0.2999014979618629,0.4652897303499713,0.4721725612125923,0.4687058789726273,0.6564830751577739,0.5736105713175281,0.6122552260643664,0.9273522662076878,0.743354061406918,0.8252211200093232,0.1700057007899666,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count1,fixed,0.1,55778,1,5577,52573,0.11175860643114206,0.9535773841334347,0.5326679952822884,0.6322395553164784,0.2914233541932171,0.39895370912265066,0.8266092881477497,0.38340973503509407,0.523843083578341,0.9910346064192218,0.5156068704468073,0.6783090201169807,0.1343010693113192,6275.0,6675.0,2446.0,115.0,3257.0,1389.0,0.0,0.0,0.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count1,subset,0.1,55778,1,5577,51460,0.1117005606358689,0.9403535971866548,0.5260270789112619,0.6317016317016317,0.29564710454722115,0.40278430551551536,0.8266092881477497,0.3883210260396424,0.5284085237796162,0.9910346064192218,0.5210454722114264,0.6829983435099561,0.13510199531824768,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass1,fixed,0.5,55778,1,27889,52573,0.23647613694744446,0.20691282937441782,0.22169448316093116,0.363655921689555,0.5661080782911381,0.4428404519666099,0.5542687080927965,0.6672055998326137,0.6055161102481164,0.8738929326974793,0.8659768322142545,0.8699168740255452,0.15625760073507552,6537.0,8509.0,3020.0,1327.0,5911.0,8343.0,505.0,28.0,897.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass1,subset,0.5,55778,1,27889,51460,0.23656910197501424,0.20449271943098213,0.22053091070299818,0.3630463623650902,0.5698017877963467,0.44351155392823394,0.5538025744917351,0.6706179556937427,0.6066379012892248,0.8737853634049266,0.8687135639331519,0.8712420825597947,0.15617804025682008,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass1,fixed,0.25,55778,1,13944,52573,0.1709039109545057,0.4783808989558046,0.3246424049551552,0.48974469305794605,0.46849143096266144,0.4788823679374298,0.6817269076305221,0.5558366461872064,0.6123787288078694,0.9408347676419966,0.7176687653358188,0.8142373080946286,0.17488898847109627,6490.0,8314.0,2921.0,416.0,4888.0,6105.0,0.0,0.0,88.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass1,subset,0.25,55778,1,13944,51460,0.17091098756546286,0.47005412845335165,0.3204825580094073,0.4892426850258176,0.47361057131752815,0.48129973293744116,0.6817269076305221,0.5604741546832491,0.6151827169868078,0.9407630522088354,0.7220171006607073,0.817001586400139,0.17541419513192882,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass1,fixed,0.1,55778,1,5577,52573,0.1092724457618238,1.0223988397494101,0.5658356427556169,0.6399497937959476,0.28134213379491374,0.3908529644430435,0.8278644432490586,0.3528807562817416,0.4948356867316998,0.9949793795947642,0.4701843151427539,0.6385958099511008,0.13549639489739324,6214.0,6615.0,2103.0,68.0,2908.0,644.0,0.0,0.0,0.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass1,subset,0.1,55778,1,5577,51460,0.10921934040574799,1.0082989581572905,0.5587591492815193,0.6394118701811009,0.2855616012436844,0.39480370657956015,0.8278644432490586,0.3576564321803342,0.4995121540886804,0.9949793795947642,0.47563155849203265,0.6436013506057061,0.13630530603135635,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count2,fixed,0.5,219950,2,109975,52573,2.36774927337922,0.13305392867551216,1.2504016010273662,0.10427824505569448,0.6415650619139102,0.179397678092074,0.16888383723573538,0.8038727103265935,0.2791265878585043,0.3033780404637418,0.9474064633937572,0.4595872678317537,0.05508145193997566,6582.0,9042.0,3336.0,1707.0,7208.0,9516.0,1749.0,1039.0,2083.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count2,subset,0.5,219950,2,109975,51460,2.3679443789311514,0.13201619190407896,1.2499802854176152,0.10408729256649238,0.6448503692188108,0.17924249898846825,0.16876562855194363,0.8059269335406141,0.27908854708795106,0.30330529665833145,0.9481733385153517,0.4595939357478643,0.05490826075927961,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count2,fixed,0.25,219950,2,54987,52573,1.743590008711753,0.20172108638911343,0.9726555475504333,0.16451161183552476,0.560877256386358,0.2544037426882121,0.25298706967101314,0.69809598082666,0.37138556185189964,0.42151781330132576,0.8728815171285641,0.5685032427341864,0.08418015110849093,6575.0,8920.0,3314.0,1302.0,6289.0,8680.0,576.0,47.0,998.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count2,subset,0.25,219950,2,54987,51460,1.7437659956985894,0.19900077875216426,0.9713833872253768,0.1642388200847473,0.5650991061018267,0.25450811505822374,0.25287795297070215,0.7015157403808784,0.37174986725083703,0.42142688271773326,0.8758258841818889,0.5690434148102081,0.08411795780118704,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count2,fixed,0.1,219950,2,21995,52573,1.3088973650563616,0.5045375586698485,0.9067174618631051,0.254921573084792,0.4326555456222776,0.3208170524967063,0.35712661968629233,0.541570768265079,0.4304214975683927,0.5321209365764946,0.6864169821010785,0.5995001744287685,0.11204557786218122,6525.0,8471.0,3092.0,245.0,4659.0,5279.0,0.0,0.0,201.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count2,subset,0.1,219950,2,21995,51460,1.3089793703337216,0.4970271694088638,0.9030032698712926,0.2545578540577404,0.43727166731441897,0.32178718552234375,0.35712661968629233,0.5460357559269335,0.4318246840378666,0.5320754716981132,0.6898756315584921,0.6007865635478475,0.11227359317831333,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass2,fixed,0.5,219950,2,109975,52573,1.2022700200746697,0.07928274410648867,0.6407763820905792,0.13998636053648555,0.7843189469879976,0.2375707550197104,0.24096385542168675,0.9393795294162403,0.3835434942407511,0.4580859286201409,0.997337036121203,0.6278120840563127,0.07140344404499395,6583.0,9126.0,3378.0,2998.0,8506.0,10747.0,3745.0,1453.0,2850.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass2,subset,0.5,219950,2,109975,51460,1.2024530023806341,0.0788591814287351,0.6406560919046846,0.1396771993634917,0.7869996113486203,0.23724755026266023,0.24077290293248466,0.9399727944034202,0.38335092627771195,0.4579404410093203,0.9974737660318694,0.6277025112191095,0.07111030983593891,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass2,fixed,0.25,219950,2,54987,52573,0.3385951684138762,0.11254405942133185,0.22556961391760402,0.2505865022641715,0.6940064291556503,0.368219235707299,0.41778965937403384,0.8396515321552889,0.5579548848489642,0.7538327240984233,0.9752534570977498,0.8503659080102175,0.12017119225467253,6551.0,8942.0,3304.0,1910.0,7872.0,10160.0,2053.0,1150.0,2201.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass2,subset,0.25,219950,2,54987,51460,0.3387483376431591,0.11169227173583855,0.22522030468949883,0.25007729099605364,0.6973183054799844,0.3681323270765353,0.4175350537399749,0.8413719393703848,0.5581068019208696,0.7536872351646753,0.9758647493198601,0.8505055776380807,0.11976634089194871,,,,,,,,,,,,,,,,,,
