scene,seq,n_steps,N_req,N,seed,n_vox,ranking,frac,ref,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,recall_r0,recall_r1,recall_r2,prec_r0,prec_r1,prec_r2,kept_r0,kept_r1,kept_r2,nref_r0,nref_r1,nref_r2
apartment_2,seq_0005,18,4,4,1,23755,conf_mean,0.1,fixed,2375,53901,0.0962992036475847,1.379850108547844,0.7380746560977144,0.6585263157894737,0.10218734346301553,0.17692085318183534,0.9136842105263158,0.14344817350327452,0.24796578581611717,1.0,0.24227750876607113,0.39005376344086023,0.05436893203883495,0.3132726089785296,0.0010981684119700356,0.0,0.9136842105263158,0.0,0.0,2375.0,0.0,0.0,24592.0,25497.0,3812.0
apartment_2,seq_0005,18,4,4,1,23755,conf_mean,0.1,subset,2375,37359,0.09657952562671802,1.1259171257482128,0.6112483256874655,0.6606315789473685,0.1332476779357049,0.22176577383152443,0.9128421052631579,0.18605958403597528,0.309114134684989,1.0,0.3081452929682272,0.47111784084630964,0.0610416527378485,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,1.0,fixed,4746,53901,0.11968481354408653,1.0138408792592037,0.5667628464016451,0.5512010113780025,0.16174096955529582,0.25009548710662516,0.8286978508217446,0.2472866922691601,0.38090872538297776,0.9959966287399916,0.41242277508766073,0.5833087679515779,0.07948598372972693,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,1.0,fixed,4746,53901,0.1304414973117147,0.8019852617046485,0.4662133795081816,0.5469869363674673,0.19648986104153912,0.2891210256807912,0.7897176569742942,0.34268380920576613,0.477963801657552,0.9867256637168141,0.5742750598319141,0.7260111171254944,0.07970976937030319,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,1.0,subset,4746,37359,0.12006906842291826,0.7804328583153002,0.4502509633691092,0.549936788874842,0.20634920634920634,0.30009552112078114,0.8291192583227981,0.31197301854974707,0.4533600708710822,0.9957859249894648,0.5081238791188201,0.6728895650461991,0.08888490926456542,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,1.0,subset,4746,37359,0.13050331679345759,0.5642050269842938,0.3473541718888757,0.5463548251158871,0.2557081292325812,0.3483700860889769,0.7892962494732406,0.437404641451859,0.5628786048076976,0.9865149599662874,0.7029096067881903,0.8209077294675636,0.08907994507134755,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,0.5,fixed,2373,53901,0.10299295372350313,1.269225556435449,0.6861092550794761,0.6203118415507796,0.10580508710413536,0.1807757010942747,0.8912768647281921,0.17335485426986513,0.29025468289535344,1.0,0.3114413461716851,0.47496038931643275,0.04820850604735676,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,0.5,fixed,2373,53901,0.09705434873049762,1.190810398979435,0.6439323738549663,0.6873156342182891,0.11767870725960557,0.2009515126917081,0.9093973872734935,0.1985677445687464,0.3259614999027249,0.9962073324905183,0.3833138531752658,0.5536124782224356,0.05648715160533394,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,0.5,subset,2373,37359,0.10330525065935535,0.9836767953807606,0.5434910230200579,0.6211546565528866,0.1410637329692979,0.22991414484119338,0.8916982722292457,0.22915495596777216,0.3646098760636553,1.0,0.3982172970368586,0.5696071674707099,0.05393198724760893,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,0.5,subset,2373,37359,0.09714010362839219,0.8818043443871394,0.4894722240077658,0.6877370417193426,0.15891752991247088,0.25817724385211627,0.9085545722713865,0.2645413421130116,0.4097708345659249,0.9962073324905183,0.4900024090580583,0.6568978512185335,0.06439495572846794,,,,,,,,,,,,
