N_req,method,param,N,n_vox,n_cand,kept,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
-1,oracle,0.01,23.666666666666668,84042.51282051283,84042.51282051283,839.9230769230769,0.00999336076855926,839.9230769230769,59403.743589743586,0.015301176135754756,0.4939066306207903,0.25460390337827254,1.0,0.15209901208530846,0.26277967000191244,1.0,0.3685714414731117,0.5368041494533053,1.0,0.7188060294350906,0.8337887975162275,0.042813166904678825
-1,oracle,0.02,23.666666666666668,84042.51282051283,84042.51282051283,1680.3076923076924,0.019992776986613912,1680.3076923076924,59403.743589743586,0.01946100375414651,0.4254185360191404,0.2224397698866435,1.0,0.2602078880277893,0.4112025074712477,1.0,0.5017039346713504,0.6663585047972732,1.0,0.7792767471158386,0.8727195355161228,0.08462609812082875
-1,oracle,0.05,23.666666666666668,84042.51282051283,84042.51282051283,4201.717948717948,0.04999475964313504,4201.717948717948,59403.743589743586,0.026743137064839512,0.3594790379287981,0.19311108749681877,1.0,0.45143819333563157,0.6200755018324636,1.0,0.645478528540827,0.7814953970577978,1.0,0.8192486584693913,0.896885060833414,0.20335587305644162
-1,oracle,0.1,23.666666666666668,84042.51282051283,84042.51282051283,8403.871794871795,0.09999502124944289,8403.871794871795,59403.743589743586,0.03636813315027782,0.3187246055309797,0.17754636934062876,0.992809690078847,0.5837754903602855,0.7324579197888931,1.0,0.7105227615319638,0.8271087543259728,1.0,0.8362734615828756,0.9072762112471577,0.33904157679570734
-1,oracle,0.25,23.666666666666668,84042.51282051283,84042.51282051283,21010.17948717949,0.24999369423299309,21010.17948717949,59403.743589743586,0.07584290778109924,0.27474288473193303,0.17529289625651612,0.7737589631417696,0.6609883089549656,0.7073094147571615,0.9671164157430473,0.7663886421364602,0.8535170988082393,1.0,0.8630160328694446,0.9231830240496064,0.3075226335540043
-1,oracle,0.5,23.666666666666668,84042.51282051283,84042.51282051283,42021.02564102564,0.49999670192581885,42021.02564102564,59403.743589743586,0.17023810997732516,0.2526769426421981,0.2114575263097616,0.3984479549684404,0.6622436542814445,0.492625772111338,0.690604274568502,0.7797997381897882,0.7263623379635101,0.9687708291512439,0.8794641409935492,0.9205880246017799,0.1838823853866858
-1,support,0.002,23.666666666666668,84042.51282051283,84042.51282051283,167.6153846153846,0.00199402426729371,167.6153846153846,59403.743589743586,0.2559454192767496,2.529512164232812,1.3927287917547808,0.7922342452077668,0.01492699955900048,0.029280392087297137,0.8099467304366037,0.027325904063868513,0.052787752220526944,0.8232588778173687,0.07093902147789308,0.13019168907304887,0.005459252839030832
-1,support,0.005,23.666666666666668,84042.51282051283,84042.51282051283,419.7692307692308,0.004993562471549455,419.7692307692308,59403.743589743586,0.23095755825295777,2.3824067224169196,1.3066821403349387,0.8070981233155209,0.03175854445236092,0.061020253518116144,0.824310251645874,0.04718421315949038,0.0890862974123041,0.8410939017591508,0.09969817140607425,0.17760731568537344,0.014031312856008275
-1,support,0.01,23.666666666666668,84042.51282051283,84042.51282051283,839.9230769230769,0.00999336076855926,839.9230769230769,59403.743589743586,0.21531316500251158,2.1890042993845964,1.202158732193554,0.8098896961056661,0.05883085282866644,0.10939467919592395,0.8326807051187873,0.0784234511052257,0.14296118522492315,0.8539343280384298,0.14161497551376157,0.24209557496785544,0.027872312407254986
-1,support,0.02,23.666666666666668,84042.51282051283,84042.51282051283,1680.3076923076924,0.019992776986613912,1680.3076923076924,59403.743589743586,0.20618772999304222,1.8912909461782839,1.048739338085663,0.7838520238003056,0.10651572875774096,0.18673513000547518,0.828927579675616,0.13665242486405263,0.23379173879649343,0.8683861619178137,0.22230114994766184,0.3519063045906798,0.052611044347141825
-1,support,0.05,23.666666666666668,84042.51282051283,84042.51282051283,4201.717948717948,0.04999475964313504,4201.717948717948,59403.743589743586,0.21279375955028776,1.4365100008925968,0.8246518802214424,0.6842995604665213,0.19889708958240812,0.3064866793163945,0.7922984466003267,0.25471631006269657,0.38314886220259226,0.8778310913771008,0.36834004168693446,0.5147615570941887,0.10102887348322054
-1,support,0.1,23.666666666666668,84042.51282051283,84042.51282051283,8403.871794871795,0.09999502124944289,8403.871794871795,59403.743589743586,0.22863014002351215,1.0753550666059184,0.6519926033147153,0.5676912638192001,0.287967686356787,0.37965886734088333,0.7303839702030944,0.3681192232251084,0.48654763046752436,0.8800194956956324,0.49218702041901125,0.6280659654895406,0.13365913348765304
-1,support,0.25,23.666666666666668,84042.51282051283,84042.51282051283,21010.17948717949,0.24999369423299309,21010.17948717949,59403.743589743586,0.28724152398836766,0.5423081195337088,0.4147748217610382,0.4049499803233256,0.42656844964387647,0.4122790747781232,0.5974537512583393,0.5377702305531618,0.5624595005887948,0.8373710161602325,0.6970921458161649,0.7573354204001334,0.15022371192403616
-1,support,0.5,23.666666666666668,84042.51282051283,84042.51282051283,42021.02564102564,0.49999670192581885,42021.02564102564,59403.743589743586,0.40214929746603373,0.32753249035062504,0.36484089390832936,0.2891261011304504,0.5413215284772307,0.37371917964342594,0.4675820621633206,0.6759051497658569,0.5485115673820159,0.7491817091809412,0.8267071026204397,0.7831532180257355,0.1320446925328744
4,fake_posterior,0.05,4.0,29268.358974358973,516511.9487179487,60496.14102564102,0.11712432279282911,60496.14102564102,34478.53846153846,0.49561392803517623,0.43824267278463463,0.46692830040990546,0.4049555488586654,0.4836922258181642,0.2993983447363095,0.5407644259611679,0.5874161637991843,0.4556042344213089,0.719432970485457,0.7421181007612409,0.6813355854467195,0.08415646913675552
4,fake_posterior,0.1,4.0,29268.358974358973,516511.9487179487,60496.14102564102,0.11712432279282911,60496.14102564102,34478.53846153846,0.467721280405097,0.4791771653057626,0.4734492228554298,0.41047838248938173,0.48057550643688857,0.29911286518133434,0.558715665760509,0.5723906167702127,0.45459962158768175,0.7355982128728339,0.718899965874136,0.6761545225464302,0.08517718927662256
4,fake_posterior,0.2,4.0,29268.358974358973,516511.9487179487,60496.14102564102,0.11712432279282911,60496.14102564102,34478.53846153846,0.4346074891174645,0.5689694160567061,0.5017884525870853,0.39999729911712845,0.46496442531647436,0.2879093125633479,0.5760493658818274,0.539815352873915,0.4412000004840249,0.7548772596918268,0.6732533049418329,0.6560450899236656,0.0829250454738902
4,fake_posterior,0.4,4.0,29268.358974358973,516511.9487179487,60496.14102564102,0.11712432279282911,60496.14102564102,34478.53846153846,0.4119148768216641,0.661229487961305,0.5365721823914845,0.36763040271706243,0.4467170844256631,0.270352764227356,0.5668924694535767,0.5118673576636511,0.4229737899195128,0.7694214435087049,0.6346173909520488,0.6396170718089761,0.07597634365407901
4,fake_posterior_same_cand,0.05,4.0,29268.358974358973,29268.358974358973,3427.5673076923076,0.11710745135479154,3427.5673076923076,34478.53846153846,0.21240528080870272,1.19534248963955,0.7038738852241264,0.7282230505029187,0.16152723334037752,0.211862200193695,0.8016819487660419,0.23910784723681844,0.30938545718436483,0.8797676154470861,0.3889184479665377,0.4810784652425245,0.05536530195966275
4,fake_posterior_same_cand,0.1,4.0,29268.358974358973,29268.358974358973,3427.5673076923076,0.11710745135479154,3427.5673076923076,34478.53846153846,0.2086116100145321,1.234770490085685,0.7216910500501086,0.7272115099133026,0.15852570761885776,0.20948269418672047,0.8050407917863595,0.22863930271955013,0.3026567940658462,0.8820456753789426,0.3713075731271728,0.4689953331296813,0.05485730224502358
4,fake_posterior_same_cand,0.2,4.0,29268.358974358973,29268.358974358973,3427.5673076923076,0.11710745135479154,3427.5673076923076,34478.53846153846,0.20897390738575525,1.3046830953616815,0.7568285013737184,0.7138011113298663,0.15422996684943144,0.20374077553332576,0.803956887319363,0.2174826518541665,0.29233658608732827,0.8821687536841765,0.3493910245001944,0.4515731391588513,0.05275802823798603
4,fake_posterior_same_cand,0.4,4.0,29268.358974358973,29268.358974358973,3427.5673076923076,0.11710745135479154,3427.5673076923076,34478.53846153846,0.21730080905478635,1.3981611501184033,0.8077309795865947,0.6822494966785252,0.15116058845951108,0.1980198319409288,0.7905890337135768,0.21123545347338366,0.2840255683622716,0.8794372162932933,0.3330535184318976,0.43565099752908876,0.04950713867102313
4,oracle,0.002,4.0,29268.358974358973,29268.358974358973,57.97435897435897,0.0019799207596196806,57.97435897435897,34478.53846153846,0.0042656698107178675,0.9928071507249937,0.49853641026785583,1.0,0.013902920786261997,0.02740173638868278,1.0,0.05082439313197556,0.0964981112706122,1.0,0.24438412388272723,0.39096477759788845,0.004141787446135916
4,oracle,0.005,4.0,29268.358974358973,29268.358974358973,145.76923076923077,0.0049797686180238785,145.76923076923077,34478.53846153846,0.007638105407267761,0.7088848817429518,0.35826149357510984,1.0,0.03698162733016585,0.07121277402616227,1.0,0.12245004274018359,0.21756795653984534,1.0,0.44788699972669094,0.6171618112833845,0.010266703634555304
4,oracle,0.01,4.0,29268.358974358973,29268.358974358973,292.0769230769231,0.009978516591576449,292.0769230769231,34478.53846153846,0.01111385898963035,0.5771716985859977,0.29414277878781403,1.0,0.07482148331626726,0.13895690323388385,1.0,0.21827459746403727,0.3576377505574646,1.0,0.6042920278579249,0.7519529576933989,0.020194934052269797
4,oracle,0.02,4.0,29268.358974358973,29268.358974358973,584.7948717948718,0.019979591205652545,584.7948717948718,34478.53846153846,0.015383375345660989,0.48601038151696613,0.25069687843131355,1.0,0.1417785005740324,0.2478251324850512,1.0,0.3418360055324925,0.5086762062550183,1.0,0.7076784588301126,0.8270678140332598,0.03959550872886374
4,oracle,0.05,4.0,29268.358974358973,29268.358974358973,1462.871794871795,0.04998066638197964,1462.871794871795,34478.53846153846,0.02228007856026475,0.4063969344760047,0.21433850651813474,1.0,0.28016408546559973,0.4368831853814387,1.0,0.49444474463493837,0.6605145518352747,1.0,0.7739612067094634,0.8707471333436865,0.09553539490889323
4,oracle,0.1,4.0,29268.358974358973,29268.358974358973,2926.3333333333335,0.09998198759870684,2926.3333333333335,34478.53846153846,0.029136574721791764,0.3596444340430101,0.19439050438240094,1.0,0.40056359326030094,0.5708293587749064,1.0,0.5784117746685629,0.731187875125681,1.0,0.8009133914589258,0.8877084899085239,0.178238515165592
