scene,seq,N_req,N,n_vox,method,param,n_cand,kept,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.1,699048,69904,0.09999885558645472,69904,54151,0.9196618746170473,0.6204357441220891,0.7700488093695682,0.1768711375600824,0.5486509944414693,0.2675053488516476,0.3261043717097734,0.6005429262617495,0.42268438937239533,0.5291685740444038,0.6742257760706174,0.5929545746548817,0.0901320047380054
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.1,699048,34952,0.04999942779322736,34952,54151,0.5434225131061652,0.7266487822552253,0.6350356476806953,0.2881952391851682,0.491736071356023,0.3634063481874778,0.4792000457770657,0.546342634485051,0.5105734173604246,0.693207827878233,0.6264150246532844,0.6581210650560811,0.12092447379281882
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.1,699048,13980,0.019998626703745664,13980,54151,0.2510778491714285,0.9483817019262849,0.5997297755488566,0.48118741058655223,0.37389891230078853,0.42081236622667634,0.6891273247496423,0.4394009344241104,0.5366337758416017,0.8831902718168813,0.5595649203154143,0.6850812899756948,0.13182188433342384
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.1,699048,6990,0.009999313351872832,6990,54151,0.17831325790958227,1.1549756033502754,0.6666444306299288,0.6216022889842633,0.2925892411959151,0.39789067401161304,0.763662374821173,0.3328655057154993,0.4636395792623853,0.921173104434907,0.43319606286125834,0.5892759104248316,0.10344538870515343
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.1,699048,3495,0.004999656675936416,3495,54151,0.11739754623385748,1.3383088927502833,0.7278532194920704,0.7862660944206008,0.2310021975586785,0.3570920220537805,0.851788268955651,0.2627467636793411,0.40161072457095387,0.9316165951359084,0.3503721076249746,0.5092283094745079,0.08140194872765112
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.1,699048,1398,0.0019998626703745664,1398,54151,0.03527913264515259,1.6382892138839336,0.8367841732645431,0.9413447782546495,0.13916640505253827,0.24248442908977139,0.9620886981402003,0.18162176137098116,0.30556027969879573,0.9892703862660944,0.26178648593747117,0.4140141408702739,0.04672614547104189
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,43120,0.5,43120,54151,0.6612562346141149,0.6864819452034332,0.673869089908774,0.26507421150278293,0.5118649701759893,0.34927367949733307,0.41576994434137293,0.5670624734538605,0.47977158416260834,0.6258580705009277,0.6419641373197171,0.6338088003748695,0.12631578947368421
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,21560,0.25,21560,54151,0.3504249856502128,0.8433264428210351,0.5968757142356239,0.42101113172541743,0.4303706302746025,0.4256394350934836,0.5920222634508349,0.49653746006537275,0.5400920586084015,0.8096011131725418,0.5959631401082159,0.6865462329668944,0.15999206416687922
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,8624,0.1,8624,54151,0.18030553908169786,1.138949009479001,0.6596272742803494,0.6914424860853432,0.3025244224483389,0.42089578025851093,0.7727272727272727,0.3441303023028199,0.47619119197737453,0.9143089053803339,0.44327897915089287,0.597079456620979,0.1551190525316717
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,4312,0.05,4312,54151,0.12212385477146055,1.4012818954816932,0.7617028751265769,0.8416048237476809,0.21153810640616055,0.3380955911309558,0.8752319109461967,0.24553563184428728,0.3834883007575298,0.9308905380333952,0.33114808590792416,0.4885153497075375,0.1079917649260715
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,1724,0.019990723562152132,1724,54151,0.12149121384631642,1.7475754346610788,0.9345333242536976,0.8445475638051044,0.11754168898081291,0.2063624487786938,0.8694895591647331,0.15048660227881294,0.2565678187819995,0.9234338747099768,0.22983878414064376,0.368067199666641,0.050241497784195586
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,862,0.009995361781076066,862,54151,0.11626395645147043,2.034927229857704,1.0755955931545873,0.8294663573085846,0.0663884323465864,0.12293727015099533,0.8596287703016241,0.08889955864157634,0.16113513100986482,0.9303944315545244,0.1503388672416022,0.2588509951226884,0.030512964189292446
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,431,0.004997680890538033,431,54151,0.08916106159203795,2.2022402137790174,1.1457006376855277,0.8491879350348028,0.041772081771343096,0.07962724969111562,0.8909512761020881,0.06212258314712563,0.11614670613941785,0.9698375870069605,0.11929604254769072,0.21245838509502477,0.016636713735558407
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.1,86240,172,0.00199443413729128,172,54151,0.06942226236749656,2.406942845089882,1.2381825537286892,0.8837209302325582,0.02276966261010877,0.04439544675204204,0.936046511627907,0.0390020498236413,0.0748839270721213,0.9941860465116279,0.08690513563923104,0.15983827201481582,0.007424211177562384
