scene,seq,N_req,ranking,auroc,prec_top,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0011,4,mlp_all,0.8083143002502524,0.7403997305187514,8906,51469,0.230934161339845,0.816514438217007,0.5237242997784259,0.5544576689871996,0.34210884221570265,0.4231361953065421,0.7403997305187514,0.4388661135829334,0.5510824448208089,0.8581854929261172,0.5617750490586567,0.6790430904736598,0.104687118561315
apartment_2,seq_0011,4,mlp_noconf,0.8083143002502524,0.7403997305187514,8906,51469,0.230934161339845,0.816514438217007,0.5237242997784259,0.5544576689871996,0.34210884221570265,0.4231361953065421,0.7403997305187514,0.4388661135829334,0.5510824448208089,0.8581854929261172,0.5617750490586567,0.6790430904736598,0.104687118561315
apartment_2,seq_0011,-1,support,0.6640893819399599,0.4907127204424502,19166,51469,0.4229664019036523,0.6370125983095148,0.5299895001065835,0.35458624647813836,0.41090753657541434,0.3806749689400455,0.4907127204424502,0.5099574501156036,0.5001500294878732,0.7272252947928624,0.6768151702966835,0.7011152797621057,0.11011869436201781
apartment_2,seq_0011,-1,logit_count,0.6640893819399599,0.4907127204424502,19166,51469,0.4229664019036523,0.6370125983095148,0.5299895001065835,0.35458624647813836,0.41090753657541434,0.3806749689400455,0.4907127204424502,0.5099574501156036,0.5001500294878732,0.7272252947928624,0.6768151702966835,0.7011152797621057,0.11011869436201781
apartment_2,seq_0011,-1,mlp_all,0.7662176619109956,0.5994991130126265,19166,51469,0.34982589785272333,0.5300647953417066,0.43994534659721496,0.440258791610143,0.4330762206376654,0.43663797030714935,0.5994991130126265,0.5240824574015427,0.5592597398013361,0.7639570072002504,0.6863743224076628,0.7230905965568777,0.14266951740989614
apartment_2,seq_0011,-1,mlp_noconf,0.7662176619109956,0.5994991130126265,19166,51469,0.34982589785272333,0.5300647953417066,0.43994534659721496,0.440258791610143,0.4330762206376654,0.43663797030714935,0.5994991130126265,0.5240824574015427,0.5592597398013361,0.7639570072002504,0.6863743224076628,0.7230905965568777,0.14266951740989614
frl_apartment_5,seq_0003,4,support,0.6042185346490286,0.393018610030491,9511,53836,0.5726601434845598,0.5878821863454848,0.5802711649150223,0.2734728209441699,0.18452336726354113,0.22036046183332877,0.393018610030491,0.3135819897466379,0.34883513481220346,0.5898433392913469,0.5737982019466528,0.5817101495972821,0.0672753124298436
frl_apartment_5,seq_0003,4,logit_count,0.6042185346490286,0.393018610030491,9511,53836,0.5726601434845598,0.5878821863454848,0.5802711649150223,0.2734728209441699,0.18452336726354113,0.22036046183332877,0.393018610030491,0.3135819897466379,0.34883513481220346,0.5898433392913469,0.5737982019466528,0.5817101495972821,0.0672753124298436
frl_apartment_5,seq_0003,4,mlp_all,0.7095525764779557,0.5676585006834192,9511,53836,0.4160383085393595,0.7257123255624135,0.5708753170508865,0.3786142361476185,0.2036741214057508,0.26486506521644765,0.5676585006834192,0.3071922133888105,0.39865149212078227,0.7340973609504784,0.49907125343636227,0.5941878276816943,0.08473093744057805
frl_apartment_5,seq_0003,4,mlp_noconf,0.7095525764779557,0.5676585006834192,9511,53836,0.4160383085393595,0.7257123255624135,0.5708753170508865,0.3786142361476185,0.2036741214057508,0.26486506521644765,0.5676585006834192,0.3071922133888105,0.39865149212078227,0.7340973609504784,0.49907125343636227,0.5941878276816943,0.08473093744057805
frl_apartment_5,seq_0003,-1,support,0.6035801591229746,0.36368686634878017,21601,53836,0.5570828835604895,0.40096472845874964,0.4790238060096196,0.21975834452108697,0.2708782227505758,0.2426551699132551,0.36368686634878017,0.43365034549372167,0.3955990838035302,0.6058515809453267,0.7272828590534215,0.6610368117897641,0.07416027505950806
frl_apartment_5,seq_0003,-1,logit_count,0.6035801591229746,0.36368686634878017,21601,53836,0.5570828835604895,0.40096472845874964,0.4790238060096196,0.21975834452108697,0.2708782227505758,0.2426551699132551,0.36368686634878017,0.43365034549372167,0.3955990838035302,0.6058515809453267,0.7272828590534215,0.6610368117897641,0.07416027505950806
frl_apartment_5,seq_0003,-1,mlp_all,0.6468087153249031,0.40363872042960974,21601,53836,0.5625355525810873,0.4801958145865701,0.5213656835838287,0.2660062034165085,0.29114347276915076,0.2780077711649322,0.40363872042960974,0.4269633702355301,0.41497354839108425,0.5949261608258877,0.6426368972434802,0.6178618529201351,0.08829282671025483
frl_apartment_5,seq_0003,-1,mlp_noconf,0.6468087153249031,0.40363872042960974,21601,53836,0.5625355525810873,0.4801958145865701,0.5213656835838287,0.2660062034165085,0.29114347276915076,0.2780077711649322,0.40363872042960974,0.4269633702355301,0.41497354839108425,0.5949261608258877,0.6426368972434802,0.6178618529201351,0.08829282671025483
apartment_2,seq_0005,4,support,0.6768064488043957,0.7458780819845712,6611,53901,0.14544176060357633,0.6016427403548374,0.37354225047920686,0.5280592951142036,0.30170126713790096,0.38400513523441554,0.7458780819845712,0.4694161518339177,0.5762015637683907,0.969747390712449,0.6493571547837702,0.7778526818958788,0.1325217044207165
apartment_2,seq_0005,4,logit_count,0.6768064488043957,0.7458780819845712,6611,53901,0.14544176060357633,0.6016427403548374,0.37354225047920686,0.5280592951142036,0.30170126713790096,0.38400513523441554,0.7458780819845712,0.4694161518339177,0.5762015637683907,0.969747390712449,0.6493571547837702,0.7778526818958788,0.1325217044207165
apartment_2,seq_0005,4,mlp_all,0.7871644889730274,0.7977613069127212,6611,53901,0.12559278924004183,0.5851254188220525,0.35535910403104715,0.5967327181969445,0.2938720988478878,0.39380675467178305,0.7977613069127212,0.43461160275319566,0.5626808533235494,0.9782181213129633,0.6069460677909501,0.7491030219505328,0.13980114492316964
