scene,seq,n_steps,order,k,view,n_pts,overlap_frac,prec_pts_all,prec_overlap_pts,prec_new_pts,dist_nearest_m,angle_nearest_deg,n_new_vox,prec_new_vox,wrong_near,wrong_disp,wrong_hall
frl_apartment_5,seq_0006,18,sequential,6,5,32768,0.883819580078125,0.58782958984375,0.5903111080418494,0.5689519306540584,0.1500000000000002,5.111183606040134,2731,0.5302087147564994,712,322,249
frl_apartment_5,seq_0006,18,sequential,7,6,32768,0.88623046875,0.588714599609375,0.590805785123967,0.5724248927038627,0.14999999999999974,5.098427841037847,2612,0.5022970903522205,757,295,248
frl_apartment_5,seq_0006,18,sequential,8,7,32768,0.935882568359375,0.587371826171875,0.5965043858218932,0.4540694907187054,0.1500000000000002,5.081623462149613,1884,0.46443736730360935,540,272,197
frl_apartment_5,seq_0006,18,sequential,9,8,32768,0.879302978515625,0.583892822265625,0.5789400617776698,0.6199747155499368,0.14999999999999974,5.0759731842980855,2440,0.48155737704918034,775,305,185
frl_apartment_5,seq_0006,18,sequential,10,9,32768,0.947967529296875,0.5928955078125,0.5993947783536684,0.4744868035190616,0.1500000000000002,5.085241422624378,1452,0.4325068870523416,506,142,176
frl_apartment_5,seq_0006,18,sequential,11,10,32768,0.93463134765625,0.593841552734375,0.597727421145432,0.53828197945845,0.1500000000000002,5.204803161837156,1601,0.4372267332916927,549,216,136
frl_apartment_5,seq_0006,18,sequential,12,11,32768,0.95367431640625,0.610198974609375,0.613824,0.5355731225296443,0.14999999999999974,5.399765155807707,1289,0.4848719937936385,376,139,149
frl_apartment_5,seq_0006,18,sequential,13,12,32768,0.913818359375,0.6212158203125,0.6144469676729896,0.6929886685552408,0.14999999999999974,5.576783887012277,1394,0.47560975609756095,387,200,144
frl_apartment_5,seq_0006,18,sequential,14,13,32768,0.906707763671875,0.614013671875,0.6156978896704924,0.5976447497546614,0.15000000000000063,5.936823300373382,1260,0.4714285714285714,375,139,152
frl_apartment_5,seq_0006,18,sequential,15,14,32768,0.9071044921875,0.6309814453125,0.6637733817790338,0.3107752956636005,0.14999999999999974,6.155413493606352,1531,0.4774657086871326,394,217,189
frl_apartment_5,seq_0006,18,sequential,16,15,32768,0.9324951171875,0.647613525390625,0.647270585155125,0.6523508137432188,0.14999999999999974,6.304530459597576,1667,0.5788842231553689,378,140,184
frl_apartment_5,seq_0006,18,sequential,17,16,32768,0.81390380859375,0.67333984375,0.6543682039745032,0.7563135454247294,0.14999999999999974,6.1141027335706974,2447,0.5790764201062526,644,187,199
frl_apartment_5,seq_0006,18,sequential,18,17,32768,0.903961181640625,0.674163818359375,0.7069646534553189,0.36542739116619,0.14999999999999974,6.5225411638096595,1845,0.35501355013550134,559,454,177
frl_apartment_5,seq_0011,18,spread,1,0,32764,0.0,0.745208155292394,,0.745208155292394,,,7192,0.7451334816462737,942,614,277
frl_apartment_5,seq_0011,18,spread,2,17,32768,0.212493896484375,0.9810791015625,0.9824788166020394,0.980701414454563,2.55,67.90524454309445,2889,0.8345448251990308,290,133,55
frl_apartment_5,seq_0011,18,spread,3,8,32768,0.67236328125,0.87615966796875,0.9554284676833696,0.7134873323397913,1.2,39.943577900963724,2946,0.5627970128988459,981,215,92
frl_apartment_5,seq_0011,18,spread,4,4,32768,0.721771240234375,0.859039306640625,0.8989894719039364,0.755401996270703,0.6,22.54686919197902,2763,0.6518277234889612,671,150,141
frl_apartment_5,seq_0011,18,spread,5,12,32768,0.849517822265625,0.95281982421875,0.9755720803247476,0.8243763942405191,0.6,26.128165280617434,1588,0.6177581863979849,410,138,59
frl_apartment_5,seq_0011,18,spread,6,2,32768,0.88165283203125,0.779327392578125,0.8027345102111457,0.6049510056730273,0.3,11.376030152175552,1596,0.4799498746867168,498,160,172
frl_apartment_5,seq_0011,18,spread,7,6,32768,0.922393798828125,0.8912353515625,0.9186765922249793,0.5650806134486827,0.3,11.6219728033711,1225,0.5004081632653061,427,122,63
frl_apartment_5,seq_0011,18,spread,8,10,32768,0.946075439453125,0.944793701171875,0.9720009031966711,0.46745897000565934,0.3,12.51077939600177,956,0.36715481171548114,380,158,67
frl_apartment_5,seq_0011,18,spread,9,14,32768,0.942779541015625,0.97515869140625,0.9854012235781568,0.8064,0.3,14.358809455774772,808,0.573019801980198,173,113,59
frl_apartment_5,seq_0011,18,spread,10,15,32768,0.97802734375,0.97930908203125,0.9895469296055917,0.5236111111111111,0.15000000000000022,7.338617514543428,611,0.4533551554828151,174,99,61
frl_apartment_5,seq_0011,18,spread,11,1,32768,0.85546875,0.75054931640625,0.7457191780821918,0.7791385135135135,0.15,5.804429988174517,2072,0.652027027027027,450,132,139
frl_apartment_5,seq_0011,18,spread,12,3,32768,0.963623046875,0.853302001953125,0.8621421332657715,0.6191275167785235,0.15,5.676283296510883,933,0.5369774919614148,199,119,114
