scene,seq,n_steps,N_req,N,seed,n_vox,ranking,frac,ref,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0009,25,1,1,0,11429,cells0.6,0.1,subset,1142,14566,0.0884213294801618,1.0677806948777468,0.5781010121789544,0.7644483362521891,0.22710421529589456,0.3501769810742838,0.9229422066549913,0.3491006453384594,0.5065862670403467,0.9973730297723292,0.49794040917204446,0.664251817187701,0.060186827480193925
apartment_2,seq_0009,25,1,1,0,11429,cells1.0,0.5,fixed,5714,60306,0.526594525986115,0.9094146283947684,0.7180045771904418,0.3498424921246062,0.14877458296023613,0.20876810469738444,0.4849492474623731,0.27629091632673364,0.35202312838148836,0.6709835491774588,0.47986933306801977,0.5595579299678379,0.058312128922815946
apartment_2,seq_0009,25,1,1,0,11429,cells1.0,0.5,subset,5714,14566,0.5400674029517921,0.48306568248441917,0.5115665427181056,0.32131606580329014,0.36166414938898805,0.3402982957304176,0.4642982149107455,0.5507345873953041,0.5038361031019098,0.664333216660833,0.7444047782507208,0.70209339510864,0.08217426059152678
apartment_2,seq_0009,25,1,1,0,11429,cells1.0,0.25,fixed,2857,60306,0.23623297886582845,1.084615248219584,0.6604241135427062,0.5194259712985649,0.11511292408715551,0.18846013329613864,0.688134406720336,0.19983086260073624,0.30972042901026864,0.8673433671683585,0.38382582164295426,0.5321562959302817,0.05038501758722312
apartment_2,seq_0009,25,1,1,0,11429,cells1.0,0.25,subset,2857,14566,0.2438208503139307,0.585294703297958,0.4145577768059443,0.4998249912495625,0.3160098860359742,0.3872098213016817,0.6709835491774588,0.48029658107922557,0.5598482874163488,0.8648932446622332,0.6880406425923383,0.7663967007419988,0.08271667511403953
apartment_2,seq_0009,25,1,1,0,11429,cells1.0,0.1,fixed,1142,60306,0.08579399142580263,1.9068108417947425,0.9963024166102725,0.7819614711033275,0.07524956057440388,0.13728768042444317,0.9290718038528897,0.11828010479885916,0.20984486573733693,0.9956217162872154,0.19963187742513183,0.332578514673736,0.03367310715553527
apartment_2,seq_0009,25,1,1,0,11429,cells1.0,0.1,subset,1142,14566,0.0884213294801618,1.0677806948777468,0.5781010121789544,0.7644483362521891,0.22710421529589456,0.3501769810742838,0.9229422066549913,0.3491006453384594,0.5065862670403467,0.9973730297723292,0.49794040917204446,0.664251817187701,0.060186827480193925
apartment_2,seq_0009,25,1,1,0,11429,cells1.5,0.5,fixed,5714,60306,0.526594525986115,0.9094146283947684,0.7180045771904418,0.3498424921246062,0.14877458296023613,0.20876810469738444,0.4849492474623731,0.27629091632673364,0.35202312838148836,0.6709835491774588,0.47986933306801977,0.5595579299678379,0.058312128922815946
apartment_2,seq_0009,25,1,1,0,11429,cells1.5,0.5,subset,5714,14566,0.5400674029517921,0.48306568248441917,0.5115665427181056,0.32131606580329014,0.36166414938898805,0.3402982957304176,0.4642982149107455,0.5507345873953041,0.5038361031019098,0.664333216660833,0.7444047782507208,0.70209339510864,0.08217426059152678
apartment_2,seq_0009,25,1,1,0,11429,cells1.5,0.25,fixed,2857,60306,0.23623297886582845,1.084615248219584,0.6604241135427062,0.5194259712985649,0.11511292408715551,0.18846013329613864,0.688134406720336,0.19983086260073624,0.30972042901026864,0.8673433671683585,0.38382582164295426,0.5321562959302817,0.05038501758722312
